date,new_cases,reviews,reviews_rolling_avg,cases_rolling_avg
2020-03-01,7.0,0.0,0.0,0.0
2020-03-02,23.0,0.0,0.0,0.0
2020-03-03,19.0,0.0,0.0,0.0
2020-03-04,33.0,0.0,0.0,0.0
2020-03-05,77.0,0.0,0.0,0.0
2020-03-06,53.0,1.0,0.0,0.0
2020-03-07,166.0,3.0,0.5714285714285714,54.0
2020-03-08,116.0,0.0,0.5714285714285714,69.57142857142857
2020-03-09,75.0,0.0,0.5714285714285714,77.0
2020-03-10,188.0,0.0,0.5714285714285714,101.14285714285714
2020-03-11,365.0,0.0,0.5714285714285714,148.57142857142858
2020-03-12,439.0,5.0,1.2857142857142858,200.28571428571428
2020-03-13,633.0,0.0,1.1428571428571428,283.14285714285717
2020-03-14,759.0,0.0,0.7142857142857143,367.85714285714283
2020-03-15,234.0,0.0,0.7142857142857143,384.7142857142857
2020-03-16,1467.0,0.0,0.7142857142857143,583.5714285714286
2020-03-17,1833.0,1.0,0.8571428571428571,818.5714285714286
2020-03-18,2657.0,0.0,0.8571428571428571,1146.0
2020-03-19,4494.0,3.0,0.5714285714285714,1725.2857142857142
2020-03-20,6367.0,0.0,0.5714285714285714,2544.4285714285716
2020-03-21,5995.0,0.0,0.5714285714285714,3292.4285714285716
2020-03-22,8919.0,0.0,0.5714285714285714,4533.142857142857
2020-03-23,11152.0,0.0,0.5714285714285714,5916.714285714285
2020-03-24,10618.0,0.0,0.42857142857142855,7171.714285714285
2020-03-25,12127.0,0.0,0.42857142857142855,8524.57142857143
2020-03-26,17821.0,5.0,0.7142857142857143,10428.42857142857
2020-03-27,18591.0,0.0,0.7142857142857143,12174.714285714286
2020-03-28,22164.0,0.0,0.7142857142857143,14484.57142857143
2020-03-29,16127.0,0.0,0.7142857142857143,15514.285714285714
2020-03-30,22154.0,0.0,0.7142857142857143,17086.0
2020-03-31,26381.0,0.0,0.7142857142857143,19337.85714285714
2020-04-01,31452.0,0.0,0.7142857142857143,22098.571428571428
2020-04-02,32088.0,0.0,0.0,24136.714285714286
2020-04-03,32204.0,1.0,0.14285714285714285,26081.428571428572
2020-04-04,31891.0,0.0,0.14285714285714285,27471.0
2020-04-05,29242.0,0.0,0.14285714285714285,29344.571428571428
2020-04-06,31729.0,0.0,0.14285714285714285,30712.428571428572
2020-04-07,30065.0,2.0,0.42857142857142855,31238.714285714286
2020-04-08,31078.0,0.0,0.42857142857142855,31185.285714285714
2020-04-09,35611.0,0.0,0.42857142857142855,31688.571428571428
2020-04-10,34339.0,2.0,0.5714285714285714,31993.571428571428
2020-04-11,28873.0,3.0,1.0,31562.428571428572
2020-04-12,26451.0,0.0,1.0,31163.714285714286
2020-04-13,27041.0,2.0,1.2857142857142858,30494.0
2020-04-14,28349.0,0.0,1.0,30248.85714285714
2020-04-15,25630.0,2.0,1.2857142857142858,29470.571428571428
2020-04-16,29669.0,0.0,1.2857142857142858,28621.714285714286
2020-04-17,32794.0,0.0,1.0,28401.0
2020-04-18,27560.0,0.0,0.5714285714285714,28213.428571428572
2020-04-19,25641.0,0.0,0.5714285714285714,28097.714285714286
2020-04-20,30026.0,0.0,0.2857142857142857,28524.14285714286
2020-04-21,25927.0,0.0,0.2857142857142857,28178.14285714286
2020-04-22,29386.0,0.0,0.0,28714.714285714286
2020-04-23,32377.0,1.0,0.14285714285714285,29101.571428571428
2020-04-24,31942.0,3.0,0.5714285714285714,28979.85714285714
2020-04-25,31065.0,0.0,0.5714285714285714,29480.571428571428
2020-04-26,26139.0,0.0,0.5714285714285714,29551.714285714286
2020-04-27,24629.0,3.0,1.0,28780.714285714286
2020-04-28,24441.0,1.0,1.1428571428571428,28568.428571428572
2020-04-29,26605.0,0.0,1.1428571428571428,28171.14285714286
2020-04-30,29061.0,0.0,1.0,27697.428571428572
2020-05-01,35273.0,0.0,0.5714285714285714,28173.285714285714
2020-05-02,27304.0,0.0,0.5714285714285714,27636.0
2020-05-03,23883.0,0.0,0.5714285714285714,27313.714285714286
2020-05-04,23880.0,3.0,0.5714285714285714,27206.714285714286
2020-05-05,23933.0,0.0,0.42857142857142855,27134.14285714286
2020-05-06,24479.0,0.0,0.42857142857142855,26830.428571428572
2020-05-07,27500.0,0.0,0.42857142857142855,26607.428571428572
2020-05-08,27347.0,5.0,1.1428571428571428,25475.14285714286
2020-05-09,24548.0,0.0,1.1428571428571428,25081.428571428572
2020-05-10,18717.0,0.0,1.1428571428571428,24343.428571428572
2020-05-11,19056.0,0.0,0.7142857142857143,23654.285714285714
2020-05-12,23228.0,0.0,0.7142857142857143,23553.571428571428
2020-05-13,19961.0,5.0,1.4285714285714286,22908.14285714286
2020-05-14,25972.0,0.0,1.4285714285714286,22689.85714285714
2020-05-15,24881.0,0.0,0.7142857142857143,22337.571428571428
2020-05-16,24127.0,0.0,0.7142857142857143,22277.428571428572
2020-05-17,18375.0,2.0,1.0,22228.571428571428
2020-05-18,22590.0,0.0,1.0,22733.428571428572
2020-05-19,20551.0,10.0,2.4285714285714284,22351.0
2020-05-20,22568.0,0.0,1.7142857142857142,22723.428571428572
2020-05-21,25379.0,0.0,1.7142857142857142,22638.714285714286
2020-05-22,23911.0,0.0,1.7142857142857142,22500.14285714286
2020-05-23,20156.0,0.0,1.7142857142857142,21932.85714285714
2020-05-24,20181.0,0.0,1.4285714285714286,22190.85714285714
2020-05-25,18923.0,0.0,1.4285714285714286,21667.0
2020-05-26,18681.0,0.0,0.0,21399.85714285714
2020-05-27,18913.0,2.0,0.2857142857142857,20877.714285714286
2020-05-28,21068.0,0.0,0.2857142857142857,20261.85714285714
2020-05-29,25241.0,0.0,0.2857142857142857,20451.85714285714
2020-05-30,23139.0,0.0,0.2857142857142857,20878.0
2020-05-31,18288.0,0.0,0.2857142857142857,20607.571428571428
2020-06-01,17259.0,0.0,0.2857142857142857,20369.85714285714
2020-06-02,21209.0,0.0,0.2857142857142857,20731.0
2020-06-03,19299.0,0.0,0.0,20786.14285714286
2020-06-04,28051.0,0.0,0.0,21783.714285714286
2020-06-05,26369.0,1.0,0.14285714285714285,21944.85714285714
2020-06-06,20340.0,1.0,0.2857142857142857,21545.0
2020-06-07,17742.0,0.0,0.2857142857142857,21467.0
2020-06-08,16922.0,0.0,0.2857142857142857,21418.85714285714
2020-06-09,20287.0,0.0,0.2857142857142857,21287.14285714286
2020-06-10,21648.0,0.0,0.2857142857142857,21622.714285714286
2020-06-11,22078.0,0.0,0.2857142857142857,20769.428571428572
2020-06-12,25786.0,1.0,0.2857142857142857,20686.14285714286
2020-06-13,24071.0,1.0,0.2857142857142857,21219.14285714286
2020-06-14,19092.0,0.0,0.2857142857142857,21412.0
2020-06-15,20951.0,0.0,0.2857142857142857,21987.571428571428
2020-06-16,24668.0,0.0,0.2857142857142857,22613.428571428572
2020-06-17,27018.0,0.0,0.2857142857142857,23380.571428571428
2020-06-18,27779.0,0.0,0.2857142857142857,24195.0
2020-06-19,31572.0,0.0,0.14285714285714285,25021.571428571428
2020-06-20,31838.0,0.0,0.0,26131.14285714286
2020-06-21,25914.0,0.0,0.0,27105.714285714286
2020-06-22,29550.0,0.0,0.0,28334.14285714286
2020-06-23,38326.0,0.0,0.0,30285.285714285714
2020-06-24,36350.0,0.0,0.0,31618.428571428572
2020-06-25,39106.0,0.0,0.0,33236.57142857143
2020-06-26,49550.0,2.0,0.2857142857142857,35804.857142857145
2020-06-27,41268.0,0.0,0.2857142857142857,37152.0
2020-06-28,42262.0,0.0,0.2857142857142857,39487.42857142857
2020-06-29,41660.0,0.0,0.2857142857142857,41217.42857142857
2020-06-30,49382.0,0.0,0.2857142857142857,42796.857142857145
2020-07-01,49500.0,0.0,0.2857142857142857,44675.42857142857
2020-07-02,54583.0,0.0,0.2857142857142857,46886.42857142857
2020-07-03,51991.0,0.0,0.0,47235.142857142855
2020-07-04,45949.0,0.0,0.0,47903.857142857145
2020-07-05,53572.0,0.0,0.0,49519.57142857143
2020-07-06,42981.0,0.0,0.0,49708.28571428572
2020-07-07,56563.0,0.0,0.0,50734.142857142855
2020-07-08,61044.0,0.0,0.0,52383.28571428572
2020-07-09,59381.0,0.0,0.0,53068.71428571428
2020-07-10,68780.0,0.0,0.0,55467.142857142855
2020-07-11,60735.0,3.0,0.42857142857142855,57579.42857142857
2020-07-12,58821.0,0.0,0.42857142857142855,58329.28571428572
2020-07-13,60998.0,0.0,0.42857142857142855,60903.142857142855
2020-07-14,65062.0,5.0,1.1428571428571428,62117.28571428572
2020-07-15,66334.0,1.0,1.2857142857142858,62873.0
2020-07-16,70354.0,1.0,1.4285714285714286,64440.57142857143
2020-07-17,66653.0,0.0,1.4285714285714286,64136.71428571428
2020-07-18,64716.0,0.0,1.0,64705.42857142857
2020-07-19,59164.0,0.0,1.0,64754.42857142857
2020-07-20,61121.0,0.0,1.0,64772.0
2020-07-21,67170.0,0.0,0.2857142857142857,65073.142857142855
2020-07-22,68072.0,0.0,0.14285714285714285,65321.42857142857
2020-07-23,67969.0,0.0,0.0,64980.71428571428
2020-07-24,75410.0,0.0,0.0,66231.71428571429
2020-07-25,62828.0,3.0,0.42857142857142855,65962.0
2020-07-26,56708.0,2.0,0.7142857142857143,65611.14285714286
2020-07-27,60297.0,0.0,0.7142857142857143,65493.42857142857
2020-07-28,64967.0,0.0,0.7142857142857143,65178.71428571428
2020-07-29,64740.0,0.0,0.7142857142857143,64702.71428571428
2020-07-30,67704.0,0.0,0.7142857142857143,64664.857142857145
2020-07-31,65955.0,0.0,0.7142857142857143,63314.142857142855
2020-08-01,57725.0,0.0,0.2857142857142857,62585.142857142855
2020-08-02,47410.0,0.0,0.0,61256.857142857145
2020-08-03,40877.0,0.0,0.0,58482.57142857143
2020-08-04,61762.0,0.0,0.0,58024.71428571428
2020-08-05,54667.0,0.0,0.0,56585.71428571428
2020-08-06,59636.0,0.0,0.0,55433.142857142855
2020-08-07,61220.0,0.0,0.0,54756.71428571428
2020-08-08,63729.0,1.0,0.14285714285714285,55614.42857142857
2020-08-09,54799.0,0.0,0.14285714285714285,56670.0
2020-08-10,51912.0,0.0,0.14285714285714285,58246.42857142857
2020-08-11,56244.0,0.0,0.14285714285714285,57458.142857142855
2020-08-12,55359.0,0.0,0.14285714285714285,57557.0
2020-08-13,51335.0,0.0,0.14285714285714285,56371.142857142855
2020-08-14,70734.0,0.0,0.14285714285714285,57730.28571428572
2020-08-15,51745.0,0.0,0.0,56018.28571428572
2020-08-16,35318.0,0.0,0.0,53235.28571428572
2020-08-17,37974.0,1.0,0.14285714285714285,51244.142857142855
2020-08-18,44123.0,0.0,0.14285714285714285,49512.57142857143
2020-08-19,46494.0,0.0,0.14285714285714285,48246.142857142855
2020-08-20,44112.0,0.0,0.14285714285714285,47214.28571428572
2020-08-21,48710.0,0.0,0.14285714285714285,44068.0
2020-08-22,44615.0,1.0,0.2857142857142857,43049.42857142857
2020-08-23,32973.0,0.0,0.2857142857142857,42714.42857142857
2020-08-24,33840.0,0.0,0.14285714285714285,42123.857142857145
2020-08-25,41783.0,3.0,0.5714285714285714,41789.57142857143
2020-08-26,42615.0,0.0,0.5714285714285714,41235.42857142857
2020-08-27,50046.0,0.0,0.5714285714285714,42083.142857142855
2020-08-28,46922.0,0.0,0.5714285714285714,41827.71428571428
2020-08-29,43194.0,0.0,0.42857142857142855,41624.71428571428
2020-08-30,33610.0,0.0,0.42857142857142855,41715.71428571428
2020-08-31,33865.0,0.0,0.42857142857142855,41719.28571428572
2020-09-01,41608.0,0.0,0.0,41694.28571428572
2020-09-02,40188.0,0.0,0.0,41347.57142857143
2020-09-03,45227.0,0.0,0.0,40659.142857142855
2020-09-04,48266.0,0.0,0.0,40851.142857142855
2020-09-05,42905.0,0.0,0.0,40809.857142857145
2020-09-06,30189.0,0.0,0.0,40321.142857142855
2020-09-07,24862.0,0.0,0.0,39035.0
2020-09-08,26407.0,0.0,0.0,36863.42857142857
2020-09-09,33264.0,0.0,0.0,35874.28571428572
2020-09-10,39177.0,0.0,0.0,35010.0
2020-09-11,45038.0,0.0,0.0,34548.857142857145
2020-09-12,45312.0,0.0,0.0,34892.71428571428
2020-09-13,40008.0,0.0,0.0,36295.42857142857
2020-09-14,33445.0,0.0,0.0,37521.57142857143
2020-09-15,36215.0,0.0,0.0,38922.71428571428
2020-09-16,38969.0,3.0,0.42857142857142855,39737.71428571428
2020-09-17,44440.0,0.0,0.42857142857142855,40489.57142857143
2020-09-18,51171.0,0.0,0.42857142857142855,41365.71428571428
2020-09-19,44619.0,0.0,0.42857142857142855,41266.71428571428
2020-09-20,42730.0,0.0,0.42857142857142855,41655.57142857143
2020-09-21,32302.0,0.0,0.42857142857142855,41492.28571428572
2020-09-22,37167.0,0.0,0.42857142857142855,41628.28571428572
2020-09-23,41861.0,1.0,0.14285714285714285,42041.42857142857
2020-09-24,48421.0,3.0,0.5714285714285714,42610.142857142855
2020-09-25,47500.0,0.0,0.5714285714285714,42085.71428571428
2020-09-26,43028.0,0.0,0.5714285714285714,41858.42857142857
2020-09-27,34613.0,0.0,0.5714285714285714,40698.857142857145
2020-09-28,37650.0,0.0,0.5714285714285714,41462.857142857145
2020-09-29,41701.0,0.0,0.5714285714285714,42110.57142857143
2020-09-30,38817.0,0.0,0.42857142857142855,41675.71428571428
2020-10-01,46301.0,0.0,0.0,41372.857142857145
2020-10-02,53250.0,2.0,0.2857142857142857,42194.28571428572
2020-10-03,49154.0,0.0,0.2857142857142857,43069.42857142857
2020-10-04,33054.0,4.0,0.8571428571428571,42846.71428571428
2020-10-05,37458.0,0.0,0.8571428571428571,42819.28571428572
2020-10-06,44239.0,3.0,1.2857142857142858,43181.857142857145
2020-10-07,49359.0,1.0,1.4285714285714286,44687.857142857145
2020-10-08,57777.0,4.0,2.0,46327.28571428572
2020-10-09,55284.0,0.0,1.7142857142857142,46617.857142857145
2020-10-10,55096.0,3.0,2.142857142857143,47466.71428571428
2020-10-11,46204.0,4.0,2.142857142857143,49345.28571428572
2020-10-12,43805.0,0.0,2.142857142857143,50252.0
2020-10-13,49579.0,2.0,2.0,51014.857142857145
2020-10-14,57859.0,3.0,2.2857142857142856,52229.142857142855
2020-10-15,64240.0,0.0,1.7142857142857142,53152.42857142857
2020-10-16,69230.0,0.0,1.7142857142857142,55144.71428571428
2020-10-17,54857.0,0.0,1.2857142857142858,55110.57142857143
2020-10-18,52220.0,1.0,0.8571428571428571,55970.0
2020-10-19,68637.0,0.0,0.8571428571428571,59517.42857142857
2020-10-20,61810.0,3.0,1.0,61264.71428571428
2020-10-21,60735.0,5.0,1.2857142857142858,61675.57142857143
2020-10-22,78494.0,3.0,1.7142857142857142,63711.857142857145
2020-10-23,82548.0,0.0,1.7142857142857142,65614.42857142857
2020-10-24,77461.0,3.0,2.142857142857143,68843.57142857143
2020-10-25,61716.0,2.0,2.2857142857142856,70200.14285714286
2020-10-26,64973.0,0.0,2.2857142857142856,69676.71428571429
2020-10-27,76764.0,1.0,2.0,71813.0
2020-10-28,85809.0,3.0,1.7142857142857142,75395.0
2020-10-29,91447.0,1.0,1.4285714285714286,77245.42857142857
2020-10-30,99972.0,0.0,1.4285714285714286,79734.57142857143
2020-10-31,88665.0,2.0,1.2857142857142858,81335.14285714286
2020-11-01,76275.0,1.0,1.1428571428571428,83415.0
2020-11-02,82845.0,0.0,1.1428571428571428,85968.14285714286
2020-11-03,123535.0,3.0,1.4285714285714286,92649.71428571429
2020-11-04,100623.0,0.0,1.0,94766.0
2020-11-05,128379.0,0.0,0.8571428571428571,100042.0
2020-11-06,124964.0,0.0,0.8571428571428571,103612.28571428571
2020-11-07,128465.0,0.0,0.5714285714285714,109298.0
2020-11-08,117900.0,0.0,0.42857142857142855,115244.42857142857
2020-11-09,120569.0,0.0,0.42857142857142855,120633.57142857143
2020-11-10,135275.0,2.0,0.2857142857142857,122310.71428571429
2020-11-11,146665.0,2.0,0.5714285714285714,128888.14285714286
2020-11-12,159292.0,1.0,0.7142857142857143,133304.2857142857
2020-11-13,178118.0,0.0,0.7142857142857143,140897.7142857143
2020-11-14,165251.0,0.0,0.7142857142857143,146152.85714285713
2020-11-15,138943.0,0.0,0.7142857142857143,149159.0
2020-11-16,156350.0,1.0,0.8571428571428571,154270.57142857142
2020-11-17,162607.0,0.0,0.5714285714285714,158175.14285714287
2020-11-18,172207.0,3.0,0.7142857142857143,161824.0
2020-11-19,192107.0,3.0,1.0,166511.85714285713
2020-11-20,200950.0,2.0,1.2857142857142858,169773.57142857142
2020-11-21,181165.0,1.0,1.4285714285714286,172047.0
2020-11-22,146054.0,0.0,1.4285714285714286,173062.85714285713
2020-11-23,183116.0,4.0,1.8571428571428572,176886.57142857142
2020-11-24,172643.0,1.0,2.0,178320.2857142857
2020-11-25,180197.0,0.0,1.5714285714285714,179461.7142857143
2020-11-26,116602.0,0.0,1.1428571428571428,168675.2857142857
2020-11-27,213603.0,0.0,0.8571428571428571,170482.85714285713
2020-11-28,170330.0,7.0,1.7142857142857142,168935.0
2020-11-29,138012.0,0.0,1.7142857142857142,167786.14285714287
2020-11-30,157393.0,1.0,1.2857142857142858,164111.42857142858
2020-12-01,195989.0,0.0,1.1428571428571428,167446.57142857142
2020-12-02,197126.0,0.0,1.1428571428571428,169865.0
2020-12-03,219599.0,0.0,1.1428571428571428,184578.85714285713
2020-12-04,234672.0,0.0,1.1428571428571428,187588.7142857143
2020-12-05,223934.0,5.0,0.8571428571428571,195246.42857142858
2020-12-06,178293.0,3.0,1.2857142857142858,201000.85714285713
2020-12-07,196568.0,1.0,1.2857142857142858,206597.2857142857
2020-12-08,224520.0,0.0,1.2857142857142858,210673.14285714287
2020-12-09,220639.0,0.0,1.2857142857142858,214032.14285714287
2020-12-10,234151.0,0.0,1.2857142857142858,216111.0
2020-12-11,240458.0,2.0,1.5714285714285714,216937.57142857142
2020-12-12,222463.0,2.0,1.1428571428571428,216727.42857142858
2020-12-13,191846.0,3.0,1.1428571428571428,218663.57142857142
2020-12-14,212054.0,5.0,1.7142857142857142,220875.85714285713
2020-12-15,223199.0,1.0,1.8571428571428572,220687.14285714287
2020-12-16,236809.0,1.0,2.0,222997.14285714287
2020-12-17,238982.0,2.0,2.2857142857142856,223687.2857142857
2020-12-18,250499.0,2.0,2.2857142857142856,225121.7142857143
2020-12-19,198794.0,0.0,2.0,221740.42857142858
2020-12-20,193421.0,1.0,1.7142857142857142,221965.42857142858
2020-12-21,200925.0,0.0,1.0,220375.57142857142
2020-12-22,203449.0,0.0,0.8571428571428571,217554.14285714287
2020-12-23,222520.0,0.0,0.7142857142857143,215512.85714285713
2020-12-24,211528.0,0.0,0.42857142857142855,211590.85714285713
2020-12-25,120705.0,1.0,0.2857142857142857,193048.85714285713
2020-12-26,226988.0,0.0,0.2857142857142857,197076.57142857142
2020-12-27,135776.0,0.0,0.14285714285714285,188841.57142857142
2020-12-28,173625.0,0.0,0.14285714285714285,184941.57142857142
2020-12-29,202593.0,0.0,0.14285714285714285,184819.2857142857
2020-12-30,219911.0,1.0,0.2857142857142857,184446.57142857142
2020-12-31,312022.0,1.0,0.42857142857142855,198802.85714285713
2021-01-01,172389.0,0.0,0.2857142857142857,206186.2857142857
2021-01-02,282395.0,0.0,0.2857142857142857,214101.57142857142
2021-01-03,204017.0,3.0,0.7142857142857143,223850.2857142857
2021-01-04,185531.0,2.0,1.0,225551.14285714287
2021-01-05,229830.0,0.0,1.0,229442.14285714287
2021-01-06,260228.0,0.0,0.8571428571428571,235201.7142857143
2021-01-07,287874.0,0.0,0.7142857142857143,231752.0
2021-01-08,304501.0,0.0,0.7142857142857143,250625.14285714287
2021-01-09,263448.0,4.0,1.2857142857142858,247918.42857142858
2021-01-10,212946.0,0.0,0.8571428571428571,249194.0
2021-01-11,203636.0,3.0,1.0,251780.42857142858
2021-01-12,220490.0,0.0,1.0,250446.14285714287
2021-01-13,229793.0,0.0,1.0,246098.2857142857
2021-01-14,234461.0,5.0,1.7142857142857142,238467.85714285713
2021-01-15,247927.0,0.0,1.7142857142857142,230385.85714285713
2021-01-16,215544.0,1.0,1.2857142857142858,223542.42857142858
2021-01-17,178539.0,0.0,1.2857142857142858,218627.14285714287
2021-01-18,141582.0,0.0,0.8571428571428571,209762.2857142857
2021-01-19,154484.0,0.0,0.8571428571428571,200332.85714285713
2021-01-20,188540.0,0.0,0.8571428571428571,194439.57142857142
2021-01-21,191356.0,4.0,0.7142857142857143,188281.7142857143
2021-01-22,193247.0,0.0,0.7142857142857143,180470.2857142857
2021-01-23,177842.0,0.0,0.5714285714285714,175084.2857142857
2021-01-24,141438.0,0.0,0.5714285714285714,169784.14285714287
2021-01-25,129426.0,1.0,0.7142857142857143,168047.57142857142
2021-01-26,149850.0,0.0,0.7142857142857143,167385.57142857142
2021-01-27,156142.0,0.0,0.7142857142857143,162757.2857142857
2021-01-28,164602.0,0.0,0.14285714285714285,158935.2857142857
2021-01-29,166998.0,0.0,0.14285714285714285,155185.42857142858
2021-01-30,149717.0,1.0,0.2857142857142857,151167.57142857142
2021-01-31,113831.0,0.0,0.2857142857142857,147223.7142857143
2021-02-01,124888.0,0.0,0.14285714285714285,146575.42857142858
2021-02-02,117853.0,0.0,0.14285714285714285,142004.42857142858
2021-02-03,122875.0,0.0,0.14285714285714285,137252.0
2021-02-04,125311.0,0.0,0.14285714285714285,131639.0
